game_id,game_date,home_team,away_team,home_pts,away_pts,season,actual_spread,actual_total
401442535,2022-06-16,Boston Celtics,Golden State Warriors,90,103,2022,-13,193
401442534,2022-06-13,Golden State Warriors,Boston Celtics,104,94,2022,10,198
401442533,2022-06-10,Boston Celtics,Golden State Warriors,97,107,2022,-10,204
401442532,2022-06-08,Boston Celtics,Golden State Warriors,116,100,2022,16,216
401442531,2022-06-05,Golden State Warriors,Boston Celtics,107,88,2022,19,195
401442530,2022-06-02,Golden State Warriors,Boston Celtics,108,120,2022,-12,228
401438136,2022-05-29,Miami Heat,Boston Celtics,96,100,2022,-4,196
401438135,2022-05-27,Boston Celtics,Miami Heat,103,111,2022,-8,214
401438948,2022-05-26,Golden State Warriors,Dallas Mavericks,120,110,2022,10,230
401438134,2022-05-25,Miami Heat,Boston Celtics,80,93,2022,-13,173
401438947,2022-05-24,Dallas Mavericks,Golden State Warriors,119,109,2022,10,228
401438133,2022-05-23,Boston Celtics,Miami Heat,102,82,2022,20,184
401438946,2022-05-22,Dallas Mavericks,Golden State Warriors,100,109,2022,-9,209
401438132,2022-05-21,Boston Celtics,Miami Heat,103,109,2022,-6,212
401438945,2022-05-20,Golden State Warriors,Dallas Mavericks,126,117,2022,9,243
401438131,2022-05-19,Miami Heat,Boston Celtics,102,127,2022,-25,229
401438944,2022-05-18,Golden State Warriors,Dallas Mavericks,112,87,2022,25,199
401438130,2022-05-17,Miami Heat,Boston Celtics,118,107,2022,11,225
401433616,2022-05-15,Boston Celtics,Milwaukee Bucks,109,81,2022,28,190
401434115,2022-05-15,Phoenix Suns,Dallas Mavericks,90,123,2022,-33,213
401433615,2022-05-13,Milwaukee Bucks,Boston Celtics,95,108,2022,-13,203
401434775,2022-05-13,Golden State Warriors,Memphis Grizzlies,110,96,2022,14,206
401434055,2022-05-12,Philadelphia 76ers,Miami Heat,90,99,2022,-9,189
401434114,2022-05-12,Dallas Mavericks,Phoenix Suns,113,86,2022,27,199
401433614,2022-05-11,Boston Celtics,Milwaukee Bucks,107,110,2022,-3,217
401434774,2022-05-11,Memphis Grizzlies,Golden State Warriors,134,95,2022,39,229
401434054,2022-05-10,Miami Heat,Philadelphia 76ers,120,85,2022,35,205
401434113,2022-05-10,Phoenix Suns,Dallas Mavericks,110,80,2022,30,190
401433613,2022-05-09,Milwaukee Bucks,Boston Celtics,108,116,2022,-8,224
401434773,2022-05-09,Golden State Warriors,Memphis Grizzlies,101,98,2022,3,199
401434112,2022-05-08,Dallas Mavericks,Phoenix Suns,111,101,2022,10,212
401434053,2022-05-08,Philadelphia 76ers,Miami Heat,116,108,2022,8,224
401433612,2022-05-07,Milwaukee Bucks,Boston Celtics,103,101,2022,2,204
401434772,2022-05-07,Golden State Warriors,Memphis Grizzlies,142,112,2022,30,254
401434052,2022-05-06,Philadelphia 76ers,Miami Heat,99,79,2022,20,178
401434111,2022-05-06,Dallas Mavericks,Phoenix Suns,103,94,2022,9,197
401434051,2022-05-04,Miami Heat,Philadelphia 76ers,119,103,2022,16,222
401434110,2022-05-04,Phoenix Suns,Dallas Mavericks,129,109,2022,20,238
401433611,2022-05-03,Boston Celtics,Milwaukee Bucks,109,86,2022,23,195
401434771,2022-05-03,Memphis Grizzlies,Golden State Warriors,106,101,2022,5,207
401434050,2022-05-02,Miami Heat,Philadelphia 76ers,106,92,2022,14,198
401434070,2022-05-02,Phoenix Suns,Dallas Mavericks,121,114,2022,7,235
401433610,2022-05-01,Boston Celtics,Milwaukee Bucks,89,101,2022,-12,190
401434770,2022-05-01,Memphis Grizzlies,Golden State Warriors,116,117,2022,-1,233
401430234,2022-04-29,Minnesota Timberwolves,Memphis Grizzlies,106,114,2022,-8,220
401430244,2022-04-28,Toronto Raptors,Philadelphia 76ers,97,132,2022,-35,229
401430228,2022-04-28,New Orleans Pelicans,Phoenix Suns,109,115,2022,-6,224
401430241,2022-04-28,Utah Jazz,Dallas Mavericks,96,98,2022,-2,194
401430251,2022-04-27,Milwaukee Bucks,Chicago Bulls,116,100,2022,16,216
401430255,2022-04-27,Golden State Warriors,Denver Nuggets,102,98,2022,4,200
401430219,2022-04-26,Miami Heat,Atlanta Hawks,97,94,2022,3,191
401430231,2022-04-26,Memphis Grizzlies,Minnesota Timberwolves,111,109,2022,2,220
401430226,2022-04-26,Phoenix Suns,New Orleans Pelicans,112,97,2022,15,209
401430212,2022-04-25,Brooklyn Nets,Boston Celtics,112,116,2022,-4,228
401430243,2022-04-25,Philadelphia 76ers,Toronto Raptors,88,103,2022,-15,191
401430239,2022-04-25,Dallas Mavericks,Utah Jazz,102,77,2022,25,179
401430249,2022-04-24,Chicago Bulls,Milwaukee Bucks,95,119,2022,-24,214
401430253,2022-04-24,Denver Nuggets,Golden State Warriors,126,121,2022,5,247
