date,player,team,game,stat,signal,line,pred,actual,outcome,american_odds,sportsbook,confidence,final_score,simulation_probability,ev_pct,edge_pct,closing_line,clv,opponent,opponent_abbr
2026-07-14,Sonia Citron,,Washington Mystics @ Toronto Tempo,PR,OVER,21.5,25.2,4.0,LOSS,-108,FanDuel,74.0,74.0,0.6688,25,17.21,,,Tempo,
2026-07-14,Sonia Citron,,Washington Mystics @ Toronto Tempo,PA,OVER,21.5,24.2,6.0,LOSS,-102,FanDuel,65.2,65.2,0.6198,22.74,12.56,,,Tempo,
2026-07-14,Sonia Citron,,Washington Mystics @ Toronto Tempo,REB,OVER,3.5,4.9,2.0,LOSS,104,FanDuel,61.8,61.8,0.5968,21.75,40.0,,,Tempo,
2026-07-14,Marina Mabrey,,Washington Mystics @ Toronto Tempo,REB,OVER,3.5,4.2,1.0,LOSS,116,FanDuel,58.3,58.3,0.5461,17.96,20.0,,,Mystics,
2026-07-14,Sarah Ashlee Barker,,Portland Fire @ Connecticut Sun,PR,OVER,13.5,16.3,3.0,LOSS,-108,FanDuel,56.1,56.1,0.5765,11.03,20.74,,,Sun,
2026-07-14,Bridget Carleton,,Portland Fire @ Connecticut Sun,PA,OVER,13.5,15.5,6.0,LOSS,-123,DraftKings,51.7,51.7,0.5969,8.22,14.81,,,Sun,
2026-07-14,Megan Gustafson,,Portland Fire @ Connecticut Sun,REB,OVER,3.5,4.1,0.0,LOSS,119,DraftKings,49.5,49.5,0.5362,17.43,17.14,,,Sun,
2026-07-14,Carla Leite,,Portland Fire @ Connecticut Sun,PR,OVER,16.5,18.7,0.0,LOSS,-104,FanDuel,46.6,46.6,0.5534,8.55,13.33,,,Sun,
2026-07-14,Isabelle Harrison,,Washington Mystics @ Toronto Tempo,REB,OVER,5.5,6.6,5.0,LOSS,118,FanDuel,45.2,45.2,0.5099,11.16,20.0,,,Mystics,
2026-07-14,Carla Leite,,Portland Fire @ Connecticut Sun,PA,OVER,19.5,21.7,2.0,LOSS,-112,FanDuel,43.8,43.8,0.5599,5.98,11.28,,,Sun,
2026-07-14,Carla Leite,,Portland Fire @ Connecticut Sun,3PM,OVER,0.5,1.3,0.0,LOSS,110,FanDuel,42.8,42.8,0.5824,0,160.0,,,Sun,
2026-07-14,Olivia Nelson-Ododa,,Portland Fire @ Connecticut Sun,PR,UNDER,22.5,16.2,6.0,WIN,-114,FanDuel,76.8,76.8,0.6566,23.26,28.0,,,Fire,
2026-07-14,Olivia Nelson-Ododa,,Portland Fire @ Connecticut Sun,PTS,UNDER,13.5,9.7,4.0,WIN,-106,DraftKings,70.2,70.2,0.6147,19.46,28.15,,,Fire,
2026-07-14,Nyara Sabally,,Washington Mystics @ Toronto Tempo,PR,UNDER,15.5,13.2,17.0,LOSS,-107,DraftKings,60.9,60.9,0.5974,15.57,14.84,,,Mystics,
2026-07-14,Nyara Sabally,,Washington Mystics @ Toronto Tempo,PTS,UNDER,11.5,8.7,13.0,LOSS,-114,FanDuel,57.7,57.7,0.5908,10.9,24.35,,,Mystics,
2026-07-14,Kennedy Burke,,Portland Fire @ Connecticut Sun,3PM,UNDER,1.5,1.0,0.0,WIN,175,DraftKings,55.2,55.2,0.5591,25,33.33,,,Fire,
2026-07-14,Charlisse Leger-Walker,,Portland Fire @ Connecticut Sun,AST,UNDER,3.5,3.0,1.0,WIN,130,FanDuel,51.0,51.0,0.5484,25,14.29,,,Fire,
2026-07-14,Diamond Miller,,Portland Fire @ Connecticut Sun,PTS,UNDER,8.5,6.8,3.0,WIN,-115,DraftKings,49.5,49.5,0.5965,0,20.0,,,Fire,
2026-07-14,Olivia Nelson-Ododa,,Portland Fire @ Connecticut Sun,REB,UNDER,7.5,6.6,2.0,WIN,-106,FanDuel,45.1,45.1,0.5682,10.42,12.0,,,Fire,
2026-07-14,Sarah Ashlee Barker,,Portland Fire @ Connecticut Sun,3PM,UNDER,1.5,0.7,0.0,WIN,-200,FanDuel,43.0,43.0,0.5822,-12.67,53.33,,,Sun,
